epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
78,4.510481627263298,1.8817291222381591,62.248,83.9,4.211367764821722e-05
79,4.509321741962995,1.9471210014724731,61.994,83.748,4.192189924206652e-05
80,4.49321403975896,1.8888006106376647,62.566,84.03,4.172826515897146e-05
81,4.501991266547556,2.0100643701171874,61.686,83.422,4.1532796633091296e-05
82,4.506275853055235,1.9400283222579957,61.976,83.788,4.133551509975264e-05
83,4.496869010571083,1.9179654555511474,62.534,84.012,4.113644219309877e-05
84,4.490074860369579,2.070941055755615,61.472,83.246,4.093559974371725e-05
85,4.482421751318427,1.9632078219985962,62.118,83.918,4.073300977624594e-05
86,4.487740467556803,1.8570454666900635,62.556,84.094,4.0528694506957764e-05
87,4.482577362877826,1.9013792992401124,62.722,84.046,4.0322676341324415e-05
88,4.4774682739598255,1.8886847864341736,62.62,84.014,4.011497787155938e-05
89,4.475050664958045,1.9567145553970338,62.248,83.904,3.99056218741404e-05
90,4.4686162843280455,1.935385709991455,62.466,83.992,3.969463130731183e-05
91,4.467538017006541,1.9303652799797058,62.47,84.216,3.948202930856697e-05
92,4.469509611234332,1.9104209429740906,62.59,84.27,3.92678391921108e-05
93,4.46235507280632,1.8887977192878722,62.846,84.366,3.9052084446303274e-05
94,4.464146635727468,1.9673288276672363,62.136,84.038,3.883478873108361e-05
95,4.454272889075002,1.8848546699905395,63.118,84.506,3.8615975875375675e-05
96,4.460349751981968,2.0359683654403686,61.938,83.66,3.8395669874474915e-05
97,4.458964532030749,1.85860087141037,63.246,84.706,3.8173894887416945e-05
98,4.448871422229631,1.872075873336792,63.444,84.532,3.795067523432826e-05
99,4.448418596515838,1.9028542518424987,63.354,84.568,3.7726035393759285e-05
100,4.442077278024917,1.9104681907081604,63.248,84.608,3.7500000000000003e-05
101,4.4315105015396155,1.924404060974121,62.898,84.316,3.727259384037852e-05
