epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
50,4.334556750965119,2.7619573752880098,38.55,65.69,1.4950000000000001e-05
51,4.3271080876350405,2.7653667398691177,38.9,65.81,1.5049000000000001e-05
52,4.324356896209717,2.742991427540779,39.31,66.02,1.5148000000000001e-05
53,4.3043373295783995,2.6977836240530015,39.91,67.0,1.5247000000000002e-05
54,4.293719842147827,2.6435832439661024,40.45,67.74,1.5346000000000002e-05
55,4.2832784020900725,2.643948568224907,40.9,67.78,1.5445000000000002e-05
56,4.295068525218964,2.6564499876499177,40.94,67.54,1.5544e-05
57,4.283023556089401,2.616812027454376,41.43,68.08,1.5643e-05
58,4.262136300754547,2.6031444518566134,41.17,68.23,1.5742e-05
59,4.264946143913269,2.587936199069023,41.87,68.69,1.5841e-05
60,4.2449457609176635,2.5284107491970063,42.96,69.92,1.594e-05
61,4.250573327970505,2.603159934282303,42.23,68.75,1.6039e-05
62,4.228965210866928,2.5414538259506227,42.99,70.19,1.6138e-05
63,4.224821605014801,2.5322441065311434,43.02,69.72,1.6237e-05
64,4.227918839597702,2.551796645641327,43.08,69.53,1.6336e-05
65,4.217167973566055,2.535724249124527,43.48,69.92,1.6435e-05
66,4.20703123626709,2.5025277848243714,44.12,70.82,1.6534e-05
67,4.200151424741745,2.470389980196953,44.26,71.06,1.6633e-05
68,4.1994981121063235,2.4474097921848297,45.15,71.42,1.6732000000000002e-05
69,4.179837382650375,2.514447477221489,44.36,70.62,1.6831000000000002e-05
70,4.169193956804276,2.447417402625084,45.23,71.19,1.6930000000000002e-05
71,4.15710984287262,2.4442691036462785,45.32,71.75,1.7029000000000002e-05
72,4.149810333871842,2.428029226779938,45.64,71.65,1.7128000000000003e-05
73,4.153207528972626,2.3893214762210846,46.97,72.73,1.7227e-05
74,4.143397180223465,2.450651094675064,46.16,71.88,1.7326e-05
75,4.161889984273911,2.3733520562648773,46.67,72.76,1.7425e-05
