nohup: ignoring input
Training with a single process on 1 device (cuda:0).
Model mobile_former_294m created, param count:11835330
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.875
	crop_mode: center
Created AdamW (adamw) optimizer: lr: 5e-05, betas: (0.9, 0.999), eps: 1e-08, weight_decay: 1e-08, amsgrad: False, foreach: None, maximize: False, capturable: False
AMP not enabled. Training in torch.float32.
Scheduled epochs: 300 (epochs + cooldown_epochs). Warmup within epochs when warmup_prefix=False. LR stepped per epoch.
Train: 0 [1250/40036 (  3%)]  Loss: 6.87 (6.91)  Time: 0.383s,   83.52/s  (0.380s,   84.19/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 475.5s / 14741.4s
Train: 0 [1300/40036 (  3%)]  Loss: 6.92 (6.90)  Time: 0.382s,   83.69/s  (0.380s,   84.18/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 494.6s / 14725.2s
Train: 0 [1350/40036 (  3%)]  Loss: 6.89 (6.90)  Time: 0.382s,   83.69/s  (0.380s,   84.16/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 513.7s / 14708.7s
Train: 0 [1400/40036 (  3%)]  Loss: 6.89 (6.90)  Time: 0.383s,   83.56/s  (0.380s,   84.15/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 532.8s / 14692.7s
Train: 0 [1450/40036 (  4%)]  Loss: 6.90 (6.90)  Time: 0.383s,   83.59/s  (0.380s,   84.13/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 551.9s / 14676.5s
Train: 0 [1500/40036 (  4%)]  Loss: 6.88 (6.90)  Time: 0.383s,   83.59/s  (0.380s,   84.11/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 571.0s / 14660.4s
Train: 0 [1550/40036 (  4%)]  Loss: 6.90 (6.90)  Time: 0.382s,   83.68/s  (0.380s,   84.11/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 590.1s / 14641.4s
Train: 0 [1600/40036 (  4%)]  Loss: 6.88 (6.90)  Time: 0.382s,   83.66/s  (0.381s,   84.10/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 609.2s / 14624.6s
Train: 0 [1650/40036 (  4%)]  Loss: 6.88 (6.90)  Time: 0.381s,   83.96/s  (0.381s,   84.09/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 628.3s / 14607.8s
Train: 0 [1700/40036 (  4%)]  Loss: 6.90 (6.90)  Time: 0.372s,   85.94/s  (0.381s,   84.09/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 647.3s / 14588.2s
Train: 0 [1750/40036 (  4%)]  Loss: 6.89 (6.90)  Time: 0.382s,   83.69/s  (0.381s,   84.09/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 666.3s / 14569.2s
Train: 0 [1800/40036 (  4%)]  Loss: 6.88 (6.90)  Time: 0.382s,   83.80/s  (0.381s,   84.08/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 685.5s / 14552.2s
Train: 0 [1850/40036 (  5%)]  Loss: 6.85 (6.90)  Time: 0.373s,   85.75/s  (0.381s,   84.07/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 704.5s / 14533.8s
Train: 0 [1900/40036 (  5%)]  Loss: 6.89 (6.90)  Time: 0.383s,   83.54/s  (0.381s,   84.06/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 723.6s / 14516.6s
Train: 0 [1950/40036 (  5%)]  Loss: 6.90 (6.90)  Time: 0.382s,   83.80/s  (0.381s,   84.05/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 742.8s / 14499.2s
Train: 0 [2000/40036 (  5%)]  Loss: 6.90 (6.90)  Time: 0.374s,   85.65/s  (0.381s,   84.09/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 761.5s / 14474.2s
Train: 0 [2050/40036 (  5%)]  Loss: 6.89 (6.90)  Time: 0.382s,   83.83/s  (0.380s,   84.11/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 780.3s / 14450.8s
Train: 0 [2100/40036 (  5%)]  Loss: 6.91 (6.90)  Time: 0.374s,   85.50/s  (0.380s,   84.13/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 799.1s / 14428.3s
Train: 0 [2150/40036 (  5%)]  Loss: 6.88 (6.90)  Time: 0.374s,   85.47/s  (0.380s,   84.17/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 817.8s / 14403.7s
Train: 0 [2200/40036 (  5%)]  Loss: 6.88 (6.90)  Time: 0.381s,   83.96/s  (0.380s,   84.19/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 836.6s / 14381.5s
