epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
51,5.402028068222444,3.603741236357689,30.048,53.794,2.4214731023046793e-05
52,5.396811498069334,3.6453139035511017,29.772,53.678,2.3430237011767167e-05
53,5.367700277597293,3.548588207616806,31.012,54.83,2.2647292167037144e-05
54,5.362491416520085,3.6205168329238893,30.372,53.912,2.1866669160892398e-05
55,5.335728728610357,3.5417447446727754,30.992,55.176,2.108913837399423e-05
56,5.346313098530243,3.6034897624206543,30.92,54.652,2.0315467135356887e-05
57,5.339639042896488,3.5580923040056227,31.292,55.178,1.9546418965086442e-05
58,5.3165789572731486,3.4922222428417204,31.664,55.556,1.878275282087863e-05
59,5.3164181477543355,3.5771606385564803,31.052,54.538,1.802522234901927e-05
60,5.293695509314596,3.529800859770775,31.594,55.452,1.727457514062632e-05
61,5.288830363232156,3.5655447739982606,31.356,55.262,1.6531551993867717e-05
62,5.279751404501806,3.479602782764435,32.31,56.144,1.579688618288306e-05
63,5.270215594667247,3.512404335746765,32.202,55.97,1.5071302734130482e-05
64,5.249684103067847,3.485478109521866,32.502,56.388,1.4355517710873184e-05
65,5.232645417439348,3.5199007510852813,32.376,56.096,1.3650237506511331e-05
66,5.23642138660937,3.5283432318782806,32.128,55.986,1.2956158147457115e-05
67,5.216569152609936,3.4387085296916964,32.854,56.676,1.2273964606240718e-05
68,5.213557843802155,3.4476024946165085,33.032,57.04,1.1604330125525079e-05
69,5.1799743262783755,3.405362267975807,33.184,57.132,1.0947915553696734e-05
70,5.184936972363838,3.488428037195206,32.912,56.83,1.0305368692688174e-05
71,5.181319260495952,3.3975817970371245,33.568,57.442,9.677323658675586e-06
72,5.168022518155576,3.5040542907428742,33.202,56.89,9.064400256282757e-06
73,5.164805524531512,3.4781671059799195,33.294,56.98,8.467203366908707e-06
74,5.159470272058251,3.4280200568914414,33.762,57.544,7.886322351782783e-06
75,5.1377281598422835,3.431006015481949,33.466,57.276,7.3223304703363135e-06
76,5.133536232316095,3.383241208062172,34.078,57.898,6.775784314464717e-06
77,5.12624461471528,3.36627136929512,34.112,57.972,6.247223259238511e-06
78,5.12972393186613,3.422115291109085,33.862,57.542,5.737168930605272e-06
79,5.125255268761541,3.4713969391059876,33.336,57.11,5.24612469060774e-06
80,5.116629284212197,3.4321526375579836,33.742,57.508,4.7745751406263165e-06
81,5.113757234076034,3.4916521382045747,33.57,57.16,4.322985643135957e-06
82,5.100089372038425,3.417495469226837,33.978,57.916,3.891801862449629e-06
83,5.092718624639725,3.4674478247451783,33.578,57.276,3.481449324901406e-06
84,5.073052956097606,3.5296065255355833,33.346,56.878,3.0923329989034107e-06
85,5.082989912638362,3.4569004650783537,33.812,57.484,2.7248368952908053e-06
86,5.069413393691205,3.4490568380117415,33.794,57.314,2.379323688349516e-06
87,5.073532346157596,3.363601373100281,34.382,58.18,2.056134357900477e-06
88,5.048779949642669,3.438772476634979,33.978,57.82,1.7555878527937164e-06
89,5.065483348331471,3.4428796479558943,33.936,57.64,1.4779807761443636e-06
90,5.050331179348604,3.373961978521347,34.304,58.06,1.2235870926211619e-06
91,5.044726491808475,3.4004301648426054,34.214,57.954,9.926578580764261e-07
